"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2021","3,146.14","3,127.62","3,149.24","3,098.00","2.73M","1.72%"
"Feb 26, 2021","3,092.93","3,095.20","3,122.44","3,036.70","4.28M","1.17%"
"Feb 25, 2021","3,057.16","3,135.09","3,174.96","3,048.59","4.53M","-3.24%"
"Feb 24, 2021","3,159.53","3,166.75","3,171.23","3,125.38","3.01M","-1.09%"
"Feb 23, 2021","3,194.50","3,127.79","3,204.18","3,095.00","4.68M","0.43%"
"Feb 22, 2021","3,180.74","3,210.00","3,230.00","3,173.04","3.52M","-2.13%"
"Feb 19, 2021","3,249.90","3,328.23","3,333.50","3,245.75","4.31M","-2.35%"
"Feb 18, 2021","3,328.23","3,287.39","3,337.23","3,273.94","3.03M","0.59%"
"Feb 17, 2021","3,308.64","3,261.43","3,320.46","3,261.02","3.30M","1.21%"
"Feb 16, 2021","3,268.95","3,260.00","3,305.03","3,254.00","2.57M","-0.27%"
"Feb 12, 2021","3,277.71","3,250.00","3,280.25","3,233.31","2.34M","0.48%"
"Feb 11, 2021","3,262.13","3,288.91","3,289.80","3,249.34","2.30M","-0.74%"
"Feb 10, 2021","3,286.58","3,314.34","3,316.51","3,254.00","3.15M","-0.56%"
"Feb 09, 2021","3,305.00","3,314.96","3,337.00","3,299.27","2.20M","-0.54%"
"Feb 08, 2021","3,322.94","3,355.00","3,362.30","3,304.00","3.26M","-0.87%"
"Feb 05, 2021","3,352.15","3,319.00","3,377.00","3,302.71","3.62M","0.63%"
"Feb 04, 2021","3,331.00","3,326.74","3,342.27","3,278.79","3.67M","0.56%"
"Feb 03, 2021","3,312.53","3,424.76","3,432.02","3,309.08","7.09M","-2.00%"
"Feb 02, 2021","3,380.00","3,381.00","3,425.78","3,366.00","7.10M","1.11%"
"Feb 01, 2021","3,342.88","3,246.40","3,350.00","3,240.24","4.16M","4.26%"
"Jan 29, 2021","3,206.20","3,230.00","3,236.99","3,184.55","4.29M","-0.97%"
"Jan 28, 2021","3,237.62","3,243.50","3,301.68","3,230.72","3.15M","0.16%"
"Jan 27, 2021","3,232.58","3,342.12","3,342.12","3,208.00","4.66M","-2.81%"
"Jan 26, 2021","3,326.13","3,288.00","3,337.89","3,282.87","2.96M","0.98%"
"Jan 25, 2021","3,294.00","3,326.07","3,363.00","3,247.90","3.75M","0.05%"
"Jan 22, 2021","3,292.23","3,304.31","3,321.91","3,283.16","2.82M","-0.45%"
"Jan 21, 2021","3,306.99","3,293.00","3,348.55","3,289.57","4.95M","1.34%"
"Jan 20, 2021","3,263.38","3,181.99","3,279.80","3,175.00","5.31M","4.57%"
