Date,Open,High,Low,Close,Change,%Change
03/01/2019,1655.13,1674.26,1651.0,1671.73,16.6,1.0
03/04/2019,1685.0,1709.43,1674.36,1696.17,11.2,0.66
03/05/2019,1702.95,1707.8,1689.01,1692.43,-10.5,-0.62
03/06/2019,1695.97,1697.75,1668.28,1668.95,-27.0,-1.59
03/07/2019,1667.37,1669.75,1620.51,1625.95,-41.4,-2.48
03/08/2019,1604.01,1622.72,1586.57,1620.8,16.8,1.05
03/11/2019,1626.12,1672.29,1626.01,1670.62,44.5,2.74
03/12/2019,1669.0,1684.27,1660.98,1673.1,4.1,0.25
03/13/2019,1683.0,1700.0,1679.35,1690.81,7.8,0.46
03/14/2019,1691.2,1702.0,1684.34,1686.22,-5.0,-0.29
03/15/2019,1703.0,1718.8,1693.13,1712.36,9.4,0.55
03/18/2019,1712.7,1750.0,1712.63,1742.15,29.5,1.72
03/19/2019,1753.51,1784.16,1753.51,1761.85,8.3,0.48
03/20/2019,1769.94,1799.5,1767.03,1797.27,27.3,1.54
03/21/2019,1796.26,1823.75,1787.28,1819.26,23.0,1.28
03/22/2019,1810.17,1818.98,1763.11,1764.77,-45.4,-2.51
03/25/2019,1757.79,1782.68,1747.5,1774.26,16.5,0.94
03/26/2019,1793.0,1805.77,1773.36,1783.76,-9.2,-0.52
03/27/2019,1784.13,1787.5,1745.68,1765.7,-18.4,-1.03
03/28/2019,1770.0,1777.93,1753.47,1773.42,3.4,0.19
03/29/2019,1786.58,1792.86,1776.63,1780.75,-5.8,-0.33
04/01/2019,1800.11,1815.67,1798.73,1814.19,14.1,0.78
04/02/2019,1811.02,1820.0,1805.12,1813.98,3.0,0.16
04/03/2019,1826.72,1830.0,1809.62,1820.7,-6.0,-0.33
04/04/2019,1820.65,1828.75,1804.2,1818.86,-1.8,-0.1
04/05/2019,1829.0,1838.58,1825.19,1837.28,8.3,0.45
04/08/2019,1833.23,1850.2,1825.11,1849.86,16.6,0.91
04/09/2019,1845.49,1853.09,1831.78,1835.84,-9.7,-0.52
04/10/2019,1841.0,1848.0,1828.81,1847.33,6.3,0.34
04/11/2019,1848.7,1849.95,1840.31,1844.07,-4.6,-0.25
04/12/2019,1848.4,1851.5,1841.3,1843.06,-5.3,-0.29
04/15/2019,1842.0,1846.85,1818.9,1844.87,2.9,0.16
04/16/2019,1851.35,1869.77,1848.0,1863.04,11.7,0.63
04/17/2019,1872.99,1876.47,1860.44,1864.82,-8.2,-0.44
04/18/2019,1868.79,1870.82,1859.48,1861.69,-7.1,-0.38
04/22/2019,1855.4,1888.42,1845.64,1887.31,31.9,1.72
04/23/2019,1891.2,1929.26,1889.58,1923.77,32.6,1.72
04/24/2019,1925.0,1929.69,1898.16,1901.75,-23.2,-1.21
04/25/2019,1917.0,1922.45,1900.31,1902.25,-14.8,-0.77
04/26/2019,1929.0,1951.0,1898.0,1950.63,21.6,1.12
04/29/2019,1949.0,1956.34,1934.09,1938.43,-10.6,-0.54
04/30/2019,1930.1,1935.71,1906.95,1926.52,-3.6,-0.19
05/01/2019,1933.09,1943.64,1910.55,1911.52,-21.6,-1.12
05/02/2019,1913.33,1921.55,1881.87,1900.82,-12.5,-0.65
05/03/2019,1949.0,1964.4,1936.0,1962.46,13.5,0.69
05/06/2019,1917.98,1959.0,1910.5,1950.55,32.6,1.7
05/07/2019,1939.99,1949.1,1903.38,1921.0,-19.0,-0.98
05/08/2019,1918.87,1935.37,1910.0,1917.77,-1.1,-0.06
05/09/2019,1900.0,1909.4,1876.0,1899.87,-0.1,-0.01
05/10/2019,1898.0,1903.79,1856.0,1889.98,-8.0,-0.42
05/13/2019,1836.56,1846.54,1818.0,1822.68,-13.9,-0.76
05/14/2019,1839.5,1852.44,1815.75,1840.12,0.6,0.03
05/15/2019,1827.95,1874.43,1823.0,1871.15,43.2,2.36
05/16/2019,1885.94,1917.51,1882.29,1907.57,21.6,1.15
05/17/2019,1893.05,1910.53,1867.33,1869.0,-24.0,-1.27
05/20/2019,1852.69,1867.78,1835.54,1858.97,6.3,0.34
05/21/2019,1874.79,1879.0,1846.0,1857.52,-17.3,-0.92
05/22/2019,1851.78,1871.48,1851.0,1859.68,7.9,0.43
05/23/2019,1836.59,1844.0,1804.2,1815.48,-21.1,-1.15
05/24/2019,1835.89,1841.76,1817.85,1823.28,-12.6,-0.69
05/28/2019,1832.75,1849.27,1827.35,1836.43,3.7,0.2
05/29/2019,1823.12,1830.0,1807.53,1819.19,-3.9,-0.22
05/30/2019,1825.49,1829.47,1807.83,1816.32,-9.2,-0.5
05/31/2019,1790.01,1795.59,1772.7,1775.07,-14.9,-0.83
06/03/2019,1760.01,1766.29,1672.0,1692.69,-67.3,-3.82
06/04/2019,1699.24,1730.82,1680.89,1729.56,30.3,1.78
06/05/2019,1749.6,1752.0,1715.25,1738.5,-11.1,-0.63
06/06/2019,1737.71,1760.0,1726.13,1754.36,16.6,0.96
06/07/2019,1763.7,1806.25,1759.49,1804.03,40.3,2.29
06/10/2019,1822.0,1884.87,1818.0,1860.63,38.6,2.12
06/11/2019,1883.25,1893.7,1858.0,1863.7,-19.5,-1.04
06/12/2019,1853.98,1865.0,1844.38,1855.32,1.3,0.07
06/13/2019,1866.72,1883.09,1862.22,1870.3,3.6,0.19
06/14/2019,1864.0,1876.0,1859.0,1869.67,5.7,0.3
06/17/2019,1876.5,1895.69,1875.45,1886.03,9.5,0.51
06/18/2019,1901.35,1921.67,1899.79,1901.37,0.0,0.0
06/19/2019,1907.84,1919.58,1892.47,1908.79,1.0,0.05
06/20/2019,1933.33,1935.2,1905.8,1918.19,-15.1,-0.78
06/21/2019,1916.1,1925.95,1907.58,1911.3,-4.8,-0.25
06/24/2019,1912.66,1916.86,1901.3,1913.9,1.2,0.06
06/25/2019,1911.84,1916.38,1872.42,1878.27,-33.6,-1.76
06/26/2019,1892.48,1903.8,1887.32,1897.83,5.3,0.28
06/27/2019,1902.0,1911.24,1898.04,1904.28,2.3,0.12
06/28/2019,1909.1,1912.94,1884.0,1893.63,-15.5,-0.81
